id,coord,name,admin_region_id,admin_region_name,admin_region_zip_code,admin_region_insee
stop_area:SNCF:87761825,"{'lat': '0', 'lon': '0'}",,,,,
stop_area:SNCF:87313759,"{'lat': '49.685602', 'lon': '1.774351'}",Abancourt,admin:fr:60001,Abancourt,60220,60001
stop_area:SNCF:87481614,"{'lat': '47.554627', 'lon': '-1.524514'}",Abbaretz,admin:fr:44001,Abbaretz,44170,44001
stop_area:SNCF:87317362,"{'lat': '50.102216', 'lon': '1.824487'}",Abbeville,admin:fr:80001,Abbeville,80100,80001
stop_area:SNCF:87545269,"{'lat': '48.725443', 'lon': '2.419213'}",Ablon,admin:fr:94001,Ablon-sur-Seine,94480,94001
stop_area:SNCF:87191403,"{'lat': '49.261076', 'lon': '6.346603'}",Aboncourt Mairie,admin:fr:57001,Aboncourt,57920,57001
stop_area:SNCF:87721944,"{'lat': '46.098868', 'lon': '3.444791'}",Abrest Mairie,admin:fr:3001,Abrest,03200,3001
stop_area:SNCF:87677252,"{'lat': '47.663798', 'lon': '3.709584'}",Accolay Le Pont,admin:fr:89130,Deux Rivières,,89130
stop_area:SNCF:87386052,"{'lat': '48.955187', 'lon': '2.091962'}",Achères Grand Cormier,admin:fr:78551,Saint-Germain-en-Laye,,78551
stop_area:SNCF:87381657,"{'lat': '48.97011', 'lon': '2.07739'}",Achères Ville,admin:fr:78005,Achères,78260,78005
stop_area:SNCF:87342048,"{'lat': '50.131741', 'lon': '2.780147'}",Achiet,admin:fr:62005,Achiet-le-Grand,62121,62005
stop_area:SNCF:87658856,"{'lat': '48.905635', 'lon': '7.208238'}",Adamswiller Lotissement la Forêt,admin:fr:67002,Adamswiller,67320,67002
stop_area:SNCF:87658922,"{'lat': '48.903835', 'lon': '7.201179'}",Adamswiller Mairie,admin:fr:67002,Adamswiller,67320,67002
stop_area:SNCF:87495713,"{'lat': '48.728337', 'lon': '2.359676'}",Aérogare Orly Ouest,admin:fr:91479,Paray-Vieille-Poste,91550,91479
stop_area:SNCF:87523548,"{'lat': '48.728829', 'lon': '2.369614'}",Aérogare Orly Sud,admin:fr:91479,Paray-Vieille-Poste,91550,91479
stop_area:SNCF:87271460,"{'lat': '49.00956', 'lon': '2.56135'}",Aéroport Charles de Gaulle 1,admin:fr:93073,Tremblay-en-France,93290,93073
stop_area:SNCF:87271494,"{'lat': '49.003618', 'lon': '2.570812'}",Aéroport Charles de Gaulle 2 TGV,admin:fr:93073,Tremblay-en-France,93290,93073
stop_area:SNCF:87994210,"{'lat': '49.013273', 'lon': '2.541919'}",Aéroport Charles de Gaulle T1,admin:fr:77282,Mauregard,77990,77282
stop_area:SNCF:87001479,"{'lat': '49.003965', 'lon': '2.570665'}",Aéroport Charles-de-Gaulle 2 RER,admin:fr:93073,Tremblay-en-France,93290,93073
stop_area:SNCF:87757559,"{'lat': '43.43137', 'lon': '6.8565'}",Agay,admin:fr:83118,Saint-Raphaël,83530;83700,83118
stop_area:SNCF:87781278,"{'lat': '43.31728', 'lon': '3.466203'}",Agde,admin:fr:34003,Agde,34300,34003
stop_area:SNCF:87586008,"{'lat': '44.207967', 'lon': '0.6208669999999999'}",Agen,admin:fr:47001,Agen,47000,47001
stop_area:SNCF:87595157,"{'lat': '45.286605', 'lon': '0.748653'}",Agonac,admin:fr:24002,Agonac,24460,24002
stop_area:SNCF:87783399,"{'lat': '44.153724', 'lon': '3.097892'}",Aguessac,admin:fr:12002,Aguessac,12520,12002
stop_area:SNCF:87171702,"{'lat': '49.407994', 'lon': '3.973095'}",Aguilcourt - Variscourt,admin:fr:2761,Variscourt,02190,2761
stop_area:SNCF:85014001,"{'lat': '46.31685', 'lon': '6.96367'}",Aigle,admin:osm:relation:1684831,Aigle,1860,
stop_area:SNCF:87485193,"{'lat': '46.09402', 'lon': '-0.95168'}",Aigrefeuille Le Thou,admin:fr:17447,Le Thou,17290,17447
stop_area:SNCF:87695957,"{'lat': '45.537542', 'lon': '5.812926'}",Aiguebelette-Centre,admin:fr:73001,Aiguebelette-le-Lac,73610,73001
